camera_timestamp,radar_timestamp,closest_radar_timestamp,tokens
1900-01-01 15:28:27.601653,1900-01-01 15:28:25.551784,15:28:27.603143,408513
1900-01-01 15:28:27.658381,1900-01-01 15:28:25.579613,15:28:27.681073,678985
1900-01-01 15:28:27.697716,1900-01-01 15:28:25.620362,15:28:27.711423,122414
1900-01-01 15:28:27.747043,1900-01-01 15:28:25.660000,15:28:27.751159,574568
1900-01-01 15:28:27.796385,1900-01-01 15:28:25.701560,15:28:27.790606,901013
1900-01-01 15:28:27.849063,1900-01-01 15:28:25.729353,15:28:27.860953,355684
1900-01-01 15:28:27.899473,1900-01-01 15:28:25.780565,15:28:27.901076,534775
1900-01-01 15:28:27.945876,1900-01-01 15:28:25.820155,15:28:27.940962,467432
1900-01-01 15:28:27.996697,1900-01-01 15:28:25.850483,15:28:28.010103,231421
1900-01-01 15:28:28.049204,1900-01-01 15:28:25.891487,15:28:28.061139,552555
1900-01-01 15:28:28.106684,1900-01-01 15:28:25.930571,15:28:28.095454,506958
1900-01-01 15:28:28.146655,1900-01-01 15:28:25.959534,15:28:28.131266,425380
1900-01-01 15:28:28.207103,1900-01-01 15:28:26.003495,15:28:28.211118,456404
1900-01-01 15:28:28.247992,1900-01-01 15:28:26.040242,15:28:28.241982,293109
1900-01-01 15:28:28.303237,1900-01-01 15:28:26.080910,15:28:28.320801,529567
1900-01-01 15:28:28.353057,1900-01-01 15:28:26.109398,15:28:28.363337,681118
1900-01-01 15:28:28.400645,1900-01-01 15:28:26.160596,15:28:28.390682,963981
1900-01-01 15:28:28.447523,1900-01-01 15:28:26.190132,15:28:28.441355,381417
1900-01-01 15:28:28.505202,1900-01-01 15:28:26.230763,15:28:28.511583,889934
1900-01-01 15:28:28.547418,1900-01-01 15:28:26.270873,15:28:28.550403,581870
1900-01-01 15:28:28.597416,1900-01-01 15:28:26.310576,15:28:28.591509,928825
1900-01-01 15:28:28.649366,1900-01-01 15:28:26.339853,15:28:28.661470,719831
1900-01-01 15:28:28.698807,1900-01-01 15:28:26.380632,15:28:28.702503,280664
1900-01-01 15:28:28.748830,1900-01-01 15:28:26.420660,15:28:28.742017,347453
1900-01-01 15:28:28.802004,1900-01-01 15:28:26.461434,15:28:28.821401,243854
1900-01-01 15:28:28.851822,1900-01-01 15:28:26.490065,15:28:28.851923,995134
1900-01-01 15:28:28.897782,1900-01-01 15:28:26.541293,15:28:28.891519,443451
1900-01-01 15:28:28.949465,1900-01-01 15:28:26.570452,15:28:28.934853,249630
1900-01-01 15:28:28.997885,1900-01-01 15:28:26.610825,15:28:29.001255,327309
1900-01-01 15:28:29.050800,1900-01-01 15:28:26.650466,15:28:29.043678,349147
1900-01-01 15:28:29.102452,1900-01-01 15:28:26.690825,15:28:29.122251,861923
1900-01-01 15:28:29.149788,1900-01-01 15:28:26.719905,15:28:29.150793,742849
1900-01-01 15:28:29.202639,1900-01-01 15:28:26.760844,15:28:29.201748,121602
1900-01-01 15:28:29.247786,1900-01-01 15:28:26.800589,15:28:29.231817,817704
1900-01-01 15:28:29.300619,1900-01-01 15:28:26.841600,15:28:29.311398,214023
1900-01-01 15:28:29.348907,1900-01-01 15:28:26.869788,15:28:29.351571,666555
1900-01-01 15:28:29.397137,1900-01-01 15:28:26.920826,15:28:29.381545,647345
1900-01-01 15:28:29.451485,1900-01-01 15:28:26.950979,15:28:29.461074,409656
1900-01-01 15:28:29.499808,1900-01-01 15:28:26.991483,15:28:29.504246,698663
1900-01-01 15:28:29.548688,1900-01-01 15:28:27.030380,15:28:29.530960,939699
1900-01-01 15:28:29.600199,1900-01-01 15:28:27.071094,15:28:29.610922,112066
1900-01-01 15:28:29.649147,1900-01-01 15:28:27.100046,15:28:29.651564,665375
1900-01-01 15:28:29.698844,1900-01-01 15:28:27.141228,15:28:29.691979,482539
1900-01-01 15:28:29.747396,1900-01-01 15:28:27.180534,15:28:29.761321,736001
1900-01-01 15:28:29.802471,1900-01-01 15:28:27.221676,15:28:29.802040,743816
1900-01-01 15:28:29.849580,1900-01-01 15:28:27.249920,15:28:29.841924,175842
1900-01-01 15:28:29.902817,1900-01-01 15:28:27.301110,15:28:29.910733,392600
1900-01-01 15:28:29.948123,1900-01-01 15:28:27.330685,15:28:29.961910,860543
